NAME,FAX
Jeffer's Pharmacy,5199416478
Baker Street Medical,5197672262
N.L. Gibson's Drugs,9055279085
Village Pharmacy,
Waterdown IDA Pharmacy,9056897555
Medical Pharmacy - 609 Pitt St - Store #31,6139369105
Seamless Care Pharmacy,4162819905
Byron Street Medical Centre,9056688942
Medical Pharmacy - 1450 Hwy 2 - Store #34,9057210770
Medical Pharmacy - 117 King Street E - Store#4,9055761533
Haliburton Family Medical Centre,
"Dr Shameena Tamachi, Family Physician",5196024110
Medicine Shoppe #271,6132321606
Proactive Pharmacy,6135211201
Health Centre Pharmacy,5196310185
Sherman IDA Pharmacy,9053189997
Steeves' Pharmasave,5066338102
Haliburton Family Medical Centre,
Medical Pharmacy - 312 Oxford Street W - Store #36,5196798812
City Centre Pharmacy,9055404430
East Wellington Family Health Team,5198564612
Derry Village IDA,9055657426
RK Pharmacy,4165930202
Walshs Pharmacy Ltd,5198486417
Dr. DiPaolo,
Perth Medical Clinic,
Queen-Lynch Pharmacy,9054506781
Bossons Pharmacy Ltd,5192453810
R. Walker Medicine Professional Corporation,
Aldershot Family Health,9056819404
Health Rite Pharmacy,9054287140
Elmdale Medical Pharmacy,2262101107
Grand Bay Guardian Pharmacy,5067383399
Uxbridge Health Centre,9058523531
Malott's Drugs,5197336087
North Hastings Family Pharmacy,6133326701
Medical Pharmacy - 2425 Tecumseh Rd E Unit 100 - Store #27,5192529592
Leggett & Smith Pharmacy,9058574336
North Dundas Medical Clinic,6132392167
Dr Paul Spencer,
Laclie Pharmacy,7053258644
Uxbridge Health Centre,9058523531
Oshawa Medical Clinic,
Russell medical center,6134453659
Maple IDA Pharmacy,9053330031
St. Michael's Pharmacy,4165322289
White Cross Dispensary,6132334029
Lee's Dundas Pharmacy,9056278017
Cobourg Medical Centre,9053739333
Student Health Services (Brock University),8557004793
Kundi Family Medicine Centre,
Millpond Family Pharmacy Compounding Centre,7052505568
Medical Pharmacy - 65 Larch Street - Store #8,7056758530
Eastvale Medical Clinic,9054725602
Dundas Quinte Pharmacy,6139559465
Warden-Finch Medcal Walkin Clinic,4164961984
Dr. Peter Leggett,9055753384
Oshawa Medical Clinic,
MedProHealth Pharmacy,9053196151
Northern Shores Pharmacy,7054766666
Pharmasave Fairways Drug Store,9058479287
PULSE IDA PHARMACY,
